source	translated	reference
A girl is playing in the fountain fully clothed.	Một cô gái đang chơi đùa trong dòng suối đầy sự mặc quần áo.	Một cô gái đang chơi đùa trong đài phun nước với quần áo đầy đủ.
Three young sumo wrestlers standing and listening to an announcer	Ba chú ba chú ba đang đứng và nghe một thông báo	Ba đô vật sumo trẻ tuổi đang đứng và lắng nghe người thông báo
Two male hikers inspect a log by the side of a forest path.	Hai người đàn ông đi bộ kiểm tra một bản ghi bên cạnh một con đường rừng.	Hai người đi bộ đường dài đang kiểm tra một khúc gỗ bên cạnh con đường mòn trong rừng.
Three players bring a team opponent to the ground.	Ba cầu thủ mang một đội đến mặt đất.	Ba người chơi vật một đội đối thủ xuống đất.
Two boys cross a city street while kicking a red soccer ball.	Có hai gã đang băng qua một đường phố trong khi đang đá banh.	Hai cậu bé băng qua đường trong thành phố trong khi đá một quả bóng đá màu đỏ.
A man holding up another with his back.	Một người đàn ông đứng sau lưng một người khác.	Một người đàn ông đang đỡ một người khác bằng lưng của mình.
White dog on mountainside turns to face something offstage, sky in background.	Con chó trắng trên sườn núi quay sang đối mặt với thứ gì đó ngoài sân khấu, trên bầu trời.	Chú chó trắng trên sườn núi quay mặt về phía thứ gì đó ngoài sân khấu, bầu trời ở phía sau.
A boy riding a skateboard on a skateboarding ramp	♪ Một cậu bé ôm một nụ cười ♪	Một cậu bé đang trượt ván trên đường dốc trượt ván
A long-haired, male musician is playing on a piano.	Một thời gian dài, nhạc công đàn ông đang chơi đàn piano.	Một nhạc công nam tóc dài đang chơi đàn piano.
Three athletes holding bouquets stand on the victory podium.	Ba vận động viên đang đứng trên chiến thắng.	Ba vận động viên cầm bó hoa đứng trên bục chiến thắng.
Two bald drag queens in red dresses	♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪	Hai nữ hoàng drag hói đầu mặc váy đỏ
A young boy is hanging onto a clothing rack.	Một cậu bé đang mặc quần áo.	Một cậu bé đang treo mình trên giá treo quần áo.
A little girl wearing pink is holding on to a bar.	Một cô gái nhỏ mặc màu hồng đang bám lấy một quán bar.	Một cô bé mặc đồ màu hồng đang cầm một thanh xà.
A man in green jumps serveral motorbikes on his own motorbike.	Một người đàn ông có khả năng nhảy dù xanh tự lập.	Một người đàn ông mặc đồ xanh nhảy qua nhiều xe máy bằng chính chiếc xe máy của mình.
A woman playing with two young boys at a park	♪ Một người phụ nữ đang chơi đùa với hai thiếu nữ ở một công viên ♪	Một người phụ nữ đang chơi với hai cậu bé trong công viên
Four people are playing soccer on a beach.	Bốn người đang chơi đá banh trên bãi biển.	Bốn người đang chơi bóng đá trên bãi biển.
Two teenage girls hugging, one wearing a bicycle helmet, with cyclists in the background.	Hai em gái tuổi thiếu niên đang búi, một em đội mũ bảo hiểm đạp xe, với những người đạp xe ở phía sau.	Hai cô gái tuổi teen đang ôm nhau, một người đội mũ bảo hiểm xe đạp, với những người đi xe đạp ở phía sau.
Two medium sized dogs run across the snow.	Hai con chó to lớn chạy ngang qua tuyết.	Hai chú chó cỡ trung chạy băng qua tuyết.
A woman is standing in a green field holding a white dog and pointing at a brown dog.	Một người phụ nữ đứng trên một cánh đồng xanh với một con chó trắng và chỉ vào một con chó nâu.	Một người phụ nữ đang đứng trên cánh đồng xanh, bế một chú chó trắng và chỉ vào một chú chó nâu.
A table full of pictures in frames, at an outdoor market.	Một cái bàn đầy hình ảnh trong khung, tại một chợ ngoài trời.	Một chiếc bàn đầy ảnh đóng khung tại một khu chợ ngoài trời.
Two people sit at a table outside against a wall and make faces.	Hai người ngồi vào một bàn tiệc, đối diện nhau và xây mặt lên.	Hai người ngồi ở một chiếc bàn bên ngoài, dựa vào tường và làm mặt xấu.
Two guys with nipple piercings are smiling.	Hai người có điểm yếu đang cười.	Hai chàng trai đeo khuyên ở núm vú đang mỉm cười.
A child is laying on a beige rug laughing.	Một đứa bé đang nằm trên một nụ cười ngọt ngào.	Một đứa trẻ đang nằm cười trên tấm thảm màu be.
A man and woman are locked arms sitting down and all dressed up.	Một người đàn ông và đàn bà bị khóa vũ khí ngồi xuống và ăn mặc chỉnh tề.	Một người đàn ông và một người phụ nữ đang ngồi khoanh tay và ăn mặc chỉnh tề.
Two woman are mud wrestling in a kiddie pool.	Hai người phụ nữ đang đấu vật trong một cuộc thi sinh con.	Hai người phụ nữ đang vật lộn với bùn trong hồ bơi trẻ em.
A guy in a white shirt is walking with a drink in his hand.	Một gã mặc áo sơ mi trắng đang đi bộ với một ly rượu trong tay.	Một chàng trai mặc áo sơ mi trắng đang đi bộ với một ly đồ uống trên tay.
Two people are silhouetted against a lake reflecting a painted sky.	Hai người được đánh giá ngược lại với một bức tranh sơn.	Hai người hiện lên dưới bóng của một hồ nước phản chiếu bầu trời được vẽ.
Several people sit at a table in formal clothing.	Nhiều người ngồi vào bàn trong quần áo.	Một số người mặc trang phục trang trọng ngồi ở bàn.
Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.	Hai em gái (một em mặc áo xanh, và một em mặc màu hồng) đang đua xe với nhau.	Hai cô gái (một mặc đồ xanh và một mặc đồ hồng) đang đua nhau trên giày trượt patin.
The four people sit on a pile of rocks.	Bốn người ngồi trên một đống đá.	Bốn người ngồi trên một đống đá.
A group of people do tricks on motorbikes.	Một nhóm người làm trò lừa đảo.	Một nhóm người đang biểu diễn nhào lộn trên xe máy.
Bicyclist in racing gear rides through forest area.	Đội tuần tra đua xe ngựa đi qua khu rừng.	Người đi xe đạp mặc đồ đua đi qua khu rừng.
A man in a green shirt is walking on the beach carrying his sneakers.	Một người đàn ông mặc áo xanh đang đi trên bờ biển với cái áo của anh ta.	Một người đàn ông mặc áo sơ mi xanh đang đi trên bãi biển và mang theo đôi giày thể thao.
Several men standing around an antique race car	♪ Những người đàn ông đứng xung quanh một xe đua ♪	Một số người đàn ông đứng xung quanh một chiếc xe đua cổ
Two men work under the hood of a white race car.	Hai người đàn ông làm việc dưới sự trùm đầu của một xe đua da trắng.	Hai người đàn ông làm việc dưới mui xe đua màu trắng.
Children jump off the edge into a pool.	Trẻ em nhảy khỏi bờ thành một hồ bơi.	Trẻ em nhảy từ mép hồ xuống hồ bơi.
A man on the edge of a wall about to fall off.	Một người đàn ông trên rìa tường sắp rơi ra.	Một người đàn ông đứng trên mép tường sắp ngã xuống.
A woman in a striped outfit on a bike.	Một người phụ nữ mặc đồ sọc trên một chiếc xe đạp.	Một người phụ nữ mặc trang phục kẻ sọc đang đạp xe.
A girl dressed in black is posing for the camera.	Một cô gái mặc đồ đen là viết tắt cho máy chụp hình.	Một cô gái mặc đồ đen đang tạo dáng trước ống kính máy ảnh.
Man in shorts standing by the water.	Người mặc đồ ngắn đang đứng cạnh mặt nước.	Người đàn ông mặc quần short đứng bên bờ nước.
Four black men are sitting on the steps of a church.	Bốn người đàn ông da đen đang ngồi trên bậc thang của một nhà thờ.	Bốn người đàn ông da đen đang ngồi trên bậc thềm của một nhà thờ.
A crane operates amidst piles of rubble.	Một đống bột nhào.	Một chiếc cần cẩu đang hoạt động giữa đống đổ nát.
A gymnast wearing red and white is mid-twirl on an uneven bar.	Một người mặc đồ đỏ và trắng là trung kích trên một quán bar.	Một vận động viên thể dục dụng cụ mặc đồ đỏ và trắng đang xoay tròn trên thanh xà lệch.
An older lady in a green sweater picks out vegetables.	Một người phụ nữ lớn tuổi mặc áo len xanh chọn rau.	Một phụ nữ lớn tuổi mặc áo len xanh đang chọn rau.
Two men are crafting items in a workshop with tools.	Hai người đàn ông đang tập hợp các công cụ trong một công ty với công cụ.	Hai người đàn ông đang chế tạo đồ vật trong một xưởng bằng các công cụ.
A teacher in white and a little girl wearing a yellow dress playing with building block.	Một giáo viên mặc đồ trắng và một cô bé mặc váy màu vàng đang chơi với tòa nhà.	Một giáo viên mặc đồ trắng và một bé gái mặc váy vàng đang chơi xếp hình.
A young child sleeping in her bed with an open book on her chest.	Một đứa bé đang nằm trên giường với một cuốn sách mở trên ngực.	Một đứa trẻ đang ngủ trên giường với một cuốn sách mở trên ngực.
A woman eating in the grass on a beautiful day.	Một người phụ nữ ăn cỏ trong một ngày đẹp trời.	Một người phụ nữ đang ăn trên bãi cỏ vào một ngày đẹp trời.
A man walks down a cobblestone street next to buildings painted tan with red eaves.	Một người đàn ông đi dọc theo một con đường đá lát đá cạnh những tòa nhà sơn màu nâu với những mái hiên màu đỏ.	Một người đàn ông đi dọc theo con phố lát đá cuội bên cạnh những tòa nhà được sơn màu nâu rám nắng với mái hiên màu đỏ.
A woman wearing a hat with making bread.	Một người phụ nữ đội một cái nón với việc làm bánh mì.	Một người phụ nữ đội mũ đang làm bánh mì.
A solitary woman uses a large primitive mortar and pestle to crush plant material as she stands in a stubble field.	Một người đàn bà đơn độc sử dụng một loại nấm thô sơ và có khả năng nghiền cây khi đứng trên một cánh đồng cỏ khô cằn.	Một người phụ nữ đơn độc đang sử dụng một chiếc cối và chày thô sơ lớn để nghiền nát nguyên liệu thực vật khi cô ấy đứng trên một cánh đồng rạ.
A man in a karate is performing in front of two judges.	Một người đàn ông đang biểu diễn trước mặt hai quan tòa.	Một người đàn ông tập karate đang biểu diễn trước hai giám khảo.
A man in formal attire plays a piano on the sidewalk of a city street.	Một người đàn ông có phong tục chơi đàn dương cầm trên vỉa hè của một thành phố.	Một người đàn ông mặc trang phục trang trọng đang chơi đàn piano trên vỉa hè của một con phố trong thành phố.
An elderly man sitting in a chair, eating some snacks.	Một người đàn ông lớn tuổi ngồi trên ghế, ăn vài món ăn nhẹ.	Một người đàn ông lớn tuổi đang ngồi trên ghế và ăn đồ ăn nhẹ.
A woman in a white shirt works behind the counter at a cafe.	Một người phụ nữ mặc áo sơ mi trắng làm việc phía sau quầy ở quán cà phê.	Một người phụ nữ mặc áo sơ mi trắng đang làm việc sau quầy tại một quán cà phê.
A man with work clothes on standing on the back of a truck.	Một người đàn ông mặc quần áo công việc đứng sau xe tải.	Một người đàn ông mặc quần áo lao động đang đứng trên thùng xe tải.
Two children looking at horses through a small fence.	Hai đứa trẻ nhìn qua một hàng rào nhỏ.	Hai đứa trẻ đang ngắm ngựa qua hàng rào nhỏ.
A window with some type of design painted on it.	Một cửa sổ với một loại thiết kế sơn trên nó.	Một cửa sổ có một số loại họa tiết được sơn trên đó.
A woman wearing a bright pink overcoat makes a face to a woman wearing a purple overcoat while standing outside a Vitamin Shoppe.	Một phụ nữ mặc áo khoác màu hồng màu hồng làm cho một khuôn mặt đối với một phụ nữ mặc một áo choàng màu tím mặc áo khoác trong khi đứng bên ngoài cửa hàng.	Một người phụ nữ mặc áo khoác màu hồng tươi làm mặt xấu với một người phụ nữ mặc áo khoác màu tím khi đứng bên ngoài một cửa hàng Vitamin.
A cowboy wrapping up his arm with a bandage.	Một chàng cao bồi trên cánh tay của mình với một băng bó.	Một chàng cao bồi đang băng bó cánh tay của mình.
A man in a yellow shirt and a man in a dark blue shirt talking.	Một người đàn ông mặc áo sơ mi vàng và một người đàn ông mặc áo sơ mi màu xanh đen đang nói chuyện.	Một người đàn ông mặc áo sơ mi vàng và một người đàn ông mặc áo sơ mi xanh đậm đang nói chuyện.
Three Asian children sitting on a couch with tapestries hanging in the background.	Ba đứa trẻ Châu Á ngồi trên ghế dài với những tấm thảm thêu treo trên nền nhà.	Ba đứa trẻ châu Á đang ngồi trên ghế dài với những tấm thảm treo ở phía sau.
A girl in a red shirt jumps up to hit a tennis ball.	Một cô gái mặc áo đỏ nhảy lên để chơi bóng vợt.	Một cô gái mặc áo sơ mi đỏ nhảy lên đánh một quả bóng tennis.
A man posing the camera with green crane.	Một người đeo ống kính có màu xanh lá cây.	Một người đàn ông đang tạo dáng chụp ảnh với con sếu xanh.
A man clinks bottles with another person while smiling in a restaurant.	Một người đàn ông nhấp nháy với một người khác khi đang mỉm cười trong một nhà hàng.	Một người đàn ông cụng chai với một người khác trong khi mỉm cười trong một nhà hàng.
A man is loading a box truck with lots of baked pretzels.	Một người đàn ông đang chất đầy một hộp hộp với rất nhiều bánh nướng.	Một người đàn ông đang chất một xe tải thùng đầy bánh quy nướng.
A man in a black jacket plays the guitar out in public.	Một người đàn ông mặc áo khoác đen chơi đàn xếp hình ở nơi công cộng.	Một người đàn ông mặc áo khoác đen đang chơi đàn ghi-ta ở nơi công cộng.
A dance group performs in a parade in china.	Một nhóm nhảy trong một buổi diễu hành.	Một nhóm nhảy biểu diễn trong một cuộc diễu hành ở Trung Quốc.
A man stands on a rocky cliff overlooking a body of water.	Một người đàn ông đứng trên vách đá trên một vũng nước.	Một người đàn ông đứng trên vách đá nhìn xuống một vùng nước.
Police officer watching woman exit from bus.	Cảnh sát cảnh sát theo dõi phụ nữ thoát khỏi xe buýt.	Cảnh sát đang theo dõi người phụ nữ bước ra khỏi xe buýt.
Two middle-aged police officers watch over a parking lot, at night.	2 cảnh sát cảnh sát canh gác ở bãi đậu xe, vào ban đêm.	Hai cảnh sát trung niên đang canh gác bãi đậu xe vào ban đêm.
Two men in blue shirts looking at a soccer game.	Hai người đàn ông mặc áo sơ mi màu xanh đang nhìn vào một trận bóng đá.	Hai người đàn ông mặc áo sơ mi xanh đang xem một trận bóng đá.
A group of men in blue uniforms are standing together.	Một nhóm người mặc đồng phục màu xanh đang đứng cùng nhau.	Một nhóm đàn ông mặc đồng phục màu xanh đang đứng cùng nhau.
A young lady doing yoga on the beach.	Một cô gái trẻ đang tập thể dục trên bãi biển.	Một cô gái trẻ đang tập yoga trên bãi biển.
A large crowd of people are standing around in a park and a few are playing instruments.	Một đám đông người đứng quanh công viên và vài người đang chơi nhạc cụ.	Một đám đông đang đứng xung quanh trong công viên và một số người đang chơi nhạc cụ.
A man with a balloon hat makes balloon animals.	Một người đàn ông với một cái mũ bảo hiểm làm nên những con thú.	Một người đàn ông đội mũ bóng bay đang làm những con vật bằng bóng bay.
A man grilling meat on an outdoor grilling pit.	Một con lợn nướng thịt trên một con chuột ngoài trời.	Một người đàn ông đang nướng thịt trên hố nướng ngoài trời.
Two men selling fruit at a fruit market.	Hai người bán hoa quả ở chợ.	Hai người đàn ông đang bán trái cây ở một chợ trái cây.
Brunette woman in a white bikini pouring a drink into a man's cup.	Một người đàn bà tóc bạc trong một cái bánh mì trắng rót rượu vào ly rượu của một người đàn ông.	Người phụ nữ tóc nâu mặc bikini trắng đang rót đồ uống vào cốc của một người đàn ông.
Boy in sunglasses is running behind a fair.	Chữ số là đang chạy đằng sau một hội chợ.	Cậu bé đeo kính râm đang chạy phía sau một hội chợ.
A gloved hand holds what appears to be an oversize nail against a log.	Một bàn tay chai cứng nắm giữ một cái gì đó có vẻ như là một quá mức đinh chống lại một khúc gỗ.	Một bàn tay đeo găng tay đang giữ một vật trông giống như một chiếc đinh quá khổ trên một khúc gỗ.
A man in a plaid shirt shows off a black set of gloves.	Một người đàn ông mặc áo sọc hiển thị một bộ màu đen của găng tay.	Một người đàn ông mặc áo sơ mi kẻ sọc khoe đôi găng tay màu đen.
Two men in white plastic chairs sitting in a doorway.	Hai người đàn ông mặc đồ nhựa trắng ngồi trong ô cửa.	Hai người đàn ông ngồi trên ghế nhựa màu trắng ở cửa ra vào.
A young girl in a red dress is wearing a black cowboy hat.	Một cô gái trẻ mặc váy đỏ đội mũ cao bồi đen.	Một cô gái trẻ mặc váy đỏ và đội mũ cao bồi màu đen.
Man in red and white soccer uniform stands on the field boundary lines with yellow and blue soccer ball.	Người đàn ông mặc đồng phục bóng trắng màu đỏ và trắng đứng trên sân dọc với bóng đá màu vàng và màu xanh.	Người đàn ông mặc đồng phục bóng đá màu đỏ và trắng đứng trên đường biên sân với quả bóng đá màu vàng và xanh.
People jump over a mountain crevasse on a rope.	Người ta nhảy qua một khe núi trên một sợi dây thừng.	Mọi người nhảy qua khe núi bằng dây thừng.
People look on as participants in a marathon pass by.	Mọi người nhìn vào như những người tham gia trong một vượt qua.	Mọi người dõi theo những người tham gia cuộc chạy marathon đi qua.
People on laptops in front pf a large window.	Người dân trên laptop trước mặt một cửa sổ lớn.	Mọi người đang dùng máy tính xách tay ở phía trước một cửa sổ lớn.
A disc jockey busy at work as lights shine upon him.	Một người bận rộn làm việc như ánh sáng chiếu vào anh ta.	Một DJ đang bận rộn làm việc dưới ánh đèn chiếu vào anh.
A man wearing gloves carries corn through a field.	Một người đàn ông đeo găng tay đi xuyên qua cánh đồng.	Một người đàn ông đeo găng tay đang mang ngô qua cánh đồng.
A photo is taken of a mirror reflection of a cafe.	Một bức ảnh được chụp từ một tấm gương phản chiếu của một bức tranh.	Một bức ảnh chụp hình ảnh phản chiếu của một quán cà phê.
A muslim woman holding balloons at an islamic event	Một cô gái cuồng cuồng nữ đang cầm bóng trong một cuộc thi đấu là chủ nghĩa tình dục	Một phụ nữ Hồi giáo cầm bóng bay tại một sự kiện Hồi giáo
A woman sits in a caged in area with a cat and two bunnies.	Một người phụ nữ ngồi trong một lồng trong khu vực với một con mèo và hai.	Một người phụ nữ ngồi trong khu vực bị nhốt cùng một con mèo và hai con thỏ.
A woman sitting against a brick wall inside a building.	Một người phụ nữ ngồi dựa vào một bức tường gạch trong một tòa nhà.	Một người phụ nữ đang ngồi dựa vào bức tường gạch bên trong một tòa nhà.
Three young women face each other while sitting on red plush chairs.	3 phụ nữ trẻ đối mặt với nhau trong khi ngồi trên đỏ cộng với phụ nữ.	Ba cô gái trẻ ngồi đối diện nhau trên những chiếc ghế nhung đỏ.
A woman in a blue shirt walking in a village.	Một người phụ nữ mặc áo sơ mi màu xanh bước đi trong một ngôi làng.	Một người phụ nữ mặc áo sơ mi xanh đang đi bộ trong làng.
Six children, sitting on a step with notepads and crayons.	Sáu đứa trẻ, ngồi trên một bước với ghi chú và trang bìa.	Sáu đứa trẻ đang ngồi trên bậc thang với những cuốn sổ tay và bút màu.
A tan dog playing with a stick on the shore.	Một con chó đang chơi đùa với một cái que trên bờ biển.	Một chú chó rám nắng đang chơi đùa với một cây gậy trên bờ biển.
Two dogs playfully bite a third dog, which has its tongue sticking out.	Hai con chó cái cắn một con chó thứ ba, mà lưỡi nó có phát ra.	Hai con chó đùa giỡn cắn con chó thứ ba, con chó này đang thè lưỡi ra.
A child is on a motorcycle smiling.	Một đứa bé đang ôm một con gấu.	Một đứa trẻ đang mỉm cười trên xe máy.
6 people are gathered around to eat a big dinner.	6 người tụ tập xung quanh để ăn một bữa tiệc lớn.	6 người tụ tập lại để ăn một bữa tối thịnh soạn.
Santa Claus being photographed at a holiday media event.	Ông già nội ngoại đã từng được thừa nhận vào một buổi biểu diễn.	Ông già Noel được chụp ảnh tại một sự kiện truyền thông ngày lễ.
Military Families are marching through New York on a rainy day.	Quân đội đang tiến quân qua New York trong một ngày.	Các gia đình quân nhân đang diễu hành qua New York vào một ngày mưa.
A woman in a blue helmet and red pants riding a motorcycle.	Một người phụ nữ đội mũ xanh và quần đỏ đeo một chiếc xe máy.	Một người phụ nữ đội mũ bảo hiểm màu xanh và quần đỏ đang lái xe máy.
Several men are wearing martial arts uniforms while they perform some moves in unison.	Nhiều người đàn ông đang mặc quân phục võ thuật trong khi họ thực hiện một số bước trong hiệp đấu.	Một số người đàn ông mặc đồng phục võ thuật trong khi thực hiện một số động tác cùng lúc.
A young lady and man dressed in warriors costume wielding sticks with a group of people in the background.	Một cô gái trẻ và một người đàn ông mặc trang phục chiến binh với một nhóm người ở phía sau.	Một cô gái trẻ và một người đàn ông mặc trang phục chiến binh đang cầm gậy với một nhóm người ở phía sau.
A man in a uniform walking on a street with two cars and a tree.	Một người đàn ông mặc đồng phục đi bộ trên một con đường với hai xe và một cây.	Một người đàn ông mặc đồng phục đang đi trên con phố có hai chiếc ô tô và một cái cây.
Young woman climbing rock face	♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪	Người phụ nữ trẻ đang leo lên vách đá
An elderly man in a light blue coat works on a car on the roadside.	Một người đàn ông cao tuổi mặc áo khoác màu xanh sáng làm việc trên một chiếc xe hơi trên đường đi.	Một ông già mặc áo khoác xanh nhạt đang sửa xe ô tô bên lề đường.
People looking over several colored pieces of paper spread on a table.	Người ta tìm kiếm trên những mảnh giấy rải trên một cái bàn.	Mọi người đang nhìn vào những tờ giấy màu trải trên bàn.
A man sings and plays the guitar into a microphone.	Một người đàn ông đàn ông hát và chơi guitar vào một âm thanh.	Một người đàn ông vừa hát vừa chơi đàn ghi-ta vào micro.
Two men sitting in a restaurant.	Hai người đàn ông ngồi trong một nhà hàng.	Hai người đàn ông đang ngồi trong nhà hàng.
Two women in shorts run down a beach along the water.	Hai phụ nữ mặc quần đùi chạy trên một bãi biển dọc theo mặt nước.	Hai người phụ nữ mặc quần short chạy dọc theo bãi biển, dọc theo mặt nước.
Construction workers having a discussion by the tracks.	Những công nhân đang có một cuộc thảo luận theo đường ray.	Công nhân xây dựng đang thảo luận bên đường ray.
A view of a pedestrian thoroughfare, featuring a man in a black apron and a white baseball cap standing in the middle of the image.	Một cái nhìn của một người vô cùng nghiêm túc, với một người đàn ông mặc áo trắng đen và một mũ bóng chày trắng đứng ở giữa bức ảnh.	Một góc nhìn về một con đường dành cho người đi bộ, có một người đàn ông mặc tạp dề đen và đội mũ bóng chày màu trắng đứng ở giữa hình ảnh.
A group of people are playing on an object.	Một nhóm người đang chơi trên một đối tượng.	Một nhóm người đang chơi đùa với một đồ vật.
A little girl in a blue outfit is climbing on metal railings in the street.	Một cô bé mặc đồ xanh đang chạy trên đường sắt.	Một bé gái mặc bộ đồ màu xanh đang trèo lên lan can kim loại trên phố.
A group of men sitting and talking behind some green fruit.	Một nhóm đàn ông ngồi và nói chuyện đằng sau một số màu xanh lá cây.	Một nhóm đàn ông đang ngồi nói chuyện sau những trái cây xanh.
A guy with a yellow outfit on standing behind a microphone under a tent.	Một người đàn ông với bộ đồ màu vàng đang đứng sau tấm vải mỏng dưới một cái lều.	Một anh chàng mặc trang phục màu vàng đứng sau micro dưới một cái lều.
A brown dog with a purple Frisbee in its mouth.	Một con chó màu nâu với một cái túi màu tím trong miệng.	Một chú chó nâu đang ngậm một chiếc đĩa Frisbee màu tím trong miệng.
It looks like a man practicing his martial arts moves near some muddy looking water.	Nó trông giống như một người đàn ông luyện tập võ thuật của mình đang di chuyển gần một cái gì đó nhìn vào nước.	Trông giống như một người đàn ông đang luyện tập các động tác võ thuật của mình gần một vùng nước đục ngầu.
A woman with a drink and a woman with a cellphone.	Một người phụ nữ với một ly rượu và một người phụ nữ với một cái điện thoại.	Một người phụ nữ cầm đồ uống và một người phụ nữ cầm điện thoại di động.
A child in a red coat waves a hand in the air while lying in snow beside a red plastic sled.	Một đứa trẻ mặc áo khoác đỏ vẫy tay trên không trong khi nằm trong tuyết bên cạnh một tấm nhựa màu đỏ.	Một đứa trẻ mặc áo khoác đỏ đang vẫy tay trong không khí khi nằm trên tuyết bên cạnh chiếc xe trượt tuyết bằng nhựa màu đỏ.
A woman sitting next to her purse watching dogs at the park.	Một người phụ nữ ngồi kế bên ví của cô xem chó ở công viên.	Một người phụ nữ ngồi cạnh ví và ngắm những chú chó ở công viên.
Three men are standing on a stage, one is wearing clown makeup and holding a guitar.	Ba người đàn ông đang đứng trên sân khấu, một người đang trang điểm và ôm một cây guitar.	Ba người đàn ông đang đứng trên sân khấu, một người trang điểm như chú hề và cầm đàn ghi-ta.
A woman is processing plant fluid in a tribal village	♪ Một người phụ nữ là một người phụ nữ ♪	Một người phụ nữ đang xử lý chất lỏng thực vật ở một ngôi làng bộ lạc
The woman in the red dress is dancing with the man in a suit.	Người phụ nữ mặc đầm đỏ đang nhảy múa với người đàn ông mặc đồ vest.	Người phụ nữ mặc váy đỏ đang khiêu vũ với người đàn ông mặc vest.
Two small dogs follow a larger dog with a tennis ball	Hai con chó nhỏ theo một con chó nhỏ với một trái banh	Hai chú chó nhỏ đuổi theo một chú chó lớn hơn với một quả bóng tennis
A man with a bushy beard and a baseball cap sits on a park bench.	Một người đàn ông với một bộ râu dài và một cái nón bóng chày ngồi trên một cái ghế công viên.	Một người đàn ông có bộ râu rậm và đội mũ bóng chày đang ngồi trên băng ghế công viên.
An African tribe is standing in their garden with the forest in the background.	Một chi phái Phi Châu đang đứng trong vườn với khu rừng phía sau.	Một bộ tộc châu Phi đang đứng trong khu vườn của họ, phía sau là khu rừng.
A young girl is trying to brush a goat.	Một cô gái trẻ đang cố gắng vẽ một con dê.	Một cô gái trẻ đang cố chải lông cho một con dê.
Asian people sitting at a restaurant with yellow chairs.	Những người dân thường ngồi tại một nhà hàng với ghế có ghế.	Người Châu Á đang ngồi trong một nhà hàng với những chiếc ghế màu vàng.
A baby girl eats a cookie while seated in a highchair and wearing a bib.	Một bé gái đang ăn bánh trong khi ngồi trên ghế cao và mặc áo choàng.	Một bé gái đang ăn bánh quy khi ngồi trên ghế cao và đeo yếm.
A gray-haired man wearing black gloves is moving the lawn.	Một người đàn ông da đen đeo găng tay đen đang di chuyển bãi cỏ.	Một người đàn ông tóc hoa râm đeo găng tay đen đang cắt cỏ.
